cod_comuna,yautcorh,decil1,decil2,decil3,decil4,decil5,decil6,decil7,decil8,decil9,decil10,hacinamiento_2
1101,1121132.45114898,.040611919,.090979561,.11081213,.11478196,.12025225,.11974288,.11240671,.11482625,.1084424,.067143932,.14668296
1107,800747.8908490916,.099471532,.15743752,.18943696,.12180734,.12224051,.1168377,.081932098,.0585173,.04235613,.0099629052,.17637131
1401,996659.4154933657,.078263901,.12538493,.17953634,.15431991,.088722326,.042879555,.14525594,.083086401,.05572018,.046830516,.37278485
1402,759733.3197115385,.087740384,.061298076,.25961539,.10096154,.16947116,.12259615,0,.07692308,.12139423,0,.19001219
1404,684896.8669724771,.14506881,.16743119,.13847478,.17173165,.15625,.062213302,.024369266,.045011468,.05819954,.03125,.27465597
1405,876319.2886226081,.046699762,.16234602,.097321808,.10694368,.17300974,.025065882,.061163206,.074155785,.15670773,.096586384,.078052692
2101,1229257.38447919,.076683745,.070076324,.09738905,.10104262,.081383042,.13106389,.12291243,.11019334,.11750049,.091755055,.090283908
2102,943727.1901163284,.073533155,.07794854,.18468201,.081939377,.17203023,.051286407,.13781099,.069966882,.14061306,.010189353,.15740016
2103,827726.7746077033,0,.055159297,.19876367,.13789824,.041369472,.19400856,.087018542,.097955301,.13456966,.053257253,.12220638
2104,976484.0865855046,.015742643,.094569929,.1579968,.12069359,.15697011,.094113618,.12160621,.15195072,.079283595,.0070727812,.11680945
2201,1124277.828365794,.059973888,.047763348,.076485947,.1162372,.09633065,.087122932,.11491101,.13457707,.1471037,.11949426,.074418865
2203,810290.2479225834,.033449039,.019880088,.098874517,.044598717,.16892816,.13316503,.18197118,.16976964,.11717682,.03218681,.014200063
2301,734034.2651499043,.15479481,.14799064,.13783754,.044971295,.10429513,.086327873,.040240273,.20773974,.055655964,.020146715,.066432625
2302,1127430.955902004,.023162583,.01870824,.086859688,.03830735,.19420935,.20400891,.14610244,.14565702,.13763919,.0053452114,.27438754
3101,1051287.178057167,.083358787,.11907994,.1110489,.10061421,.084721796,.10841902,.098301038,.11962853,.10784214,.066985644,.095367335
3102,737362.4506863073,.1691329,.16498159,.1223301,.13244058,.053230666,.079343826,.077000335,.079477735,.069434218,.052628055,.13592233
3103,910163.4415635902,.10910244,.10497939,.11592135,.049159531,.077941641,.12250238,.18910562,.13764669,.088645734,.0049952427,.10045988
3201,780451.2710238878,.15904449,.16090934,.11135779,.041736968,.08045467,.18675074,.13222627,.07725779,.021312494,.028949471,.068643995
3202,1058544.343669882,.078622878,.075570747,.057868391,.1222073,.069466487,.16273959,.14406055,.13197412,.091685995,.06580393,.11425757
3301,871188.6070882203,.11740299,.13946965,.11427379,.087571278,.10815447,.095915809,.11568773,.078971766,.077812806,.064739697,.12271322
3302,687539.8458080468,.137559,.19554956,.055518094,.12834345,.11598112,.063385032,.23758148,.0069678579,.059114408,0,0
3303,693914.2098377813,.1838479,.099075526,.17146346,.1929182,.083376944,.15140416,.05982906,.022850165,.026862027,.0083725797,.15070644
3304,622271.1590820185,.17851089,.14317381,.18124919,.025296649,.10314252,.08293128,.10718477,.073282048,.058025818,.047203027,.046811841
4101,1081850.410187757,.15403716,.13444613,.16231449,.1166686,.11157327,.078439042,.10498885,.065748535,.048536703,.023247205,.084410518
4102,606953.6428223019,.16929604,.18683809,.15715887,.10281657,.099264324,.097345538,.07821966,.054975003,.045806989,.0082789194,.10874011
4103,537274.4726055472,.20330647,.21765268,.17311108,.17570706,.050006833,.074053831,.043175299,.02992212,.0057384889,.027326137,.075787403
4104,528997.4370825541,.18300828,.073737644,.25808176,.18461128,.13304836,.099118352,.01442693,.047021106,.0069462997,0,.16110072
4105,498435.4093412646,.29411766,.10398766,.32452083,0,.092090771,.017625028,.11280017,0,.04406257,.01079533,.035882484
4106,527699.1240554395,.23770647,.16020505,.13252325,.14706664,.108221,.068464018,.090791725,.0075185113,.024340231,.023163091,.10339852
4201,648055.4634607726,.13278243,.13722952,.16563787,.17645693,.10059074,.077923805,.097769812,.060666401,.04662817,.00431435,.15854712
4202,452071.829571878,.45301601,.075776227,.070578583,.07919573,.064423472,.10887703,.075639449,.016550403,.047736287,.0082068117,.043906443
4203,601443.0476447418,.1718657,.13402173,.11980321,.18776017,.11396442,.10298967,.05460345,.056279399,.045737147,.012975077,.018219171
4204,665555.8100160708,.21886809,.15753812,.097076833,.14898145,.052295532,.14285715,.066672459,.065195672,.017808279,.032706425,.17339182
4301,781823.2518953885,.091004729,.15478715,.18330494,.14890972,.097169086,.080675729,.091578566,.081493013,.051505879,.019571191,.063999794
4302,510459.7176671767,.15507156,.22239223,.23913239,.069660693,.10386104,.07470075,.077850781,.0066600665,.029970299,.020700207,.080010802
4303,530491.3099723688,.16129741,.21031147,.24375157,.13489074,.091873899,.064368248,.02797664,.049139664,.004709872,.011680482,.10616051
4304,467781.7230961059,.18616919,.32035297,.095338576,.090542875,.092844814,.12564743,.025896797,.035104547,.024649914,.0034529062,.16468444
4305,418556.8927135678,.16231155,.23015076,.14447236,.16180904,.12487437,.13266331,.0072864322,.014572864,.021859296,0,.11080402
5101,853066.9341049229,.050940875,.1130525,.13268015,.11215054,.11554687,.12352484,.092195638,.087813541,.1145571,.057537965,.080558725
5102,874948.0000294256,.058762949,.13306262,.0625,.12185146,.10472576,.18879473,.13238584,.090454333,.084863462,.02259887,.012615768
5103,1272150.551395674,.04789586,.10653103,.13467246,.12836681,.070027217,.075520031,.12340357,.099695802,.12382231,.090064906,.103058
5105,783884.6130935656,.088564202,.13649902,.086765945,.087159313,.17358808,.13436359,.11565046,.13250913,.038044393,.0068558585,.17651026
5107,876003.0496796593,.090017535,.08336018,.13350514,.1277068,.086330935,.1211568,.11013279,.1211568,.056229644,.070403382,.039371487
5109,1315187.176517515,.052014533,.068929419,.10763724,.079991363,.10005036,.10032737,.09741348,.090215124,.15511908,.14830203,.063862465
5301,1023999.362573844,.07395412,.08235684,.11141571,.063753553,.12201155,.11721729,.16777386,.097287923,.089407988,.074821174,.051796649
5302,612244.6086033416,.17991322,.18886735,.22662236,.09332595,.072279148,.096833751,.069509834,.026862364,.042462844,.0033231792,.16745131
5303,756474.307855127,.12829258,.1151223,.081961431,.15592663,.11912041,.15874882,.12300094,.049388524,.031279396,.037158985,0
