"","COMUNA","n_1","n_2","n_3","vote_1","vote_2","vote_3","participacion_1","participacion_2","participacion_3","n","vote","participacion","year","X24.Oct","group_etapa_plebiscito","treated","adulto_mayor","comunas_mayores"
"1","Aisen",7204,10812,2597,2298,5891,1242,0.318989450305386,0.544857565667777,0.478244127839815,20613,9431,0.457526803473536,2012,4,0,0,0.125988453888323,0
"2","Algarrobo",3156,5321,2299,1275,3453,1447,0.403992395437262,0.648938169517008,0.629404088734232,10776,6175,0.573032665181886,2012,3,0,0,0.213344469190794,1
"3","Alhue",2946,2940,792,831,1874,496,0.282077393075356,0.637414965986395,0.626262626262626,6678,3201,0.479335130278526,2012,3,0,0,0.118598382749326,0
"4","Alto Biobio",2219,2218,439,997,1676,275,0.449301487156377,0.755635707844905,0.626423690205011,4876,2948,0.604593929450369,2012,3,0,0,0.0900328137817883,0
"5","Alto Del Carmen",1401,2550,1040,579,1801,679,0.413276231263383,0.706274509803922,0.652884615384615,4991,3059,0.612903225806452,2012,3,0,0,0.208375075135243,1
"6","Alto Hospicio",18623,18211,2246,2742,9088,1315,0.147237287225474,0.499039042337049,0.585485307212823,39080,13145,0.33636131013306,2012,2,1,0,0.0574718526100307,0
"7","Ancud",12388,18459,5454,3430,11321,3025,0.276880852437843,0.613305162793217,0.554638797213055,36301,17776,0.489683479793945,2012,3,0,0,0.150243794936779,0
"8","Andacollo",3509,5820,1682,1200,3902,1142,0.341977771444856,0.670446735395189,0.678953626634958,11011,6244,0.567069294342022,2012,3,0,0,0.152756334574516,0
"9","Angol",15058,22243,6863,4525,13630,4201,0.300504715101607,0.61277705345502,0.612122978289378,44164,22356,0.506204148174984,2012,2,1,0,0.155398061769767,0
"10","Antartica",101,260,6,7,19,0,0.0693069306930693,0.0730769230769231,0,367,26,0.0708446866485014,2012,3,0,0,0.0163487738419619,0
"11","Antofagasta",94220,117704,27617,14500,49017,12477,0.153895139036298,0.416442941616258,0.451786942825072,239541,75994,0.317248404239775,2012,2,1,0,0.11529132799813,0
"12","Antuco",1281,2240,842,678,1402,537,0.529274004683841,0.625892857142857,0.637767220902613,4363,2617,0.599816639926656,2012,3,0,0,0.192986477194591,1
"13","Arauco",10286,14249,3876,3539,9799,2306,0.344059887225355,0.68769738227244,0.594943240454076,28411,15644,0.550631797543205,2012,3,0,0,0.136426032170638,0
"14","Arica",54520,79482,21652,9841,32329,10799,0.180502567865004,0.406746181525377,0.498753002032145,155654,52969,0.340299638942783,2012,1,1,0,0.139103395993678,0
"15","Buin",22373,29534,7171,6206,18663,4365,0.277387922942833,0.631915758109298,0.608701715241947,59078,29234,0.494837333694438,2012,2,1,0,0.121381901892413,0
"16","Bulnes",6035,10200,3089,2373,7020,1958,0.393206296603148,0.688235294117647,0.63386209129168,19324,11351,0.58740426412751,2012,3,0,0,0.159853032498448,0
"17","Cabildo",6356,8515,2308,2122,5963,1573,0.333857772183763,0.700293599530241,0.681542461005199,17179,9658,0.562198032481518,2012,3,0,0,0.134350078584318,0
"18","Cabo De Hornos",625,1092,61,283,472,40,0.4528,0.432234432234432,0.655737704918033,1778,795,0.447131608548931,2012,3,0,0,0.0343082114735658,0
"19","Cabrero",7604,11734,3190,3362,8477,2174,0.442135718043135,0.722430543719107,0.681504702194357,22528,14013,0.622025923295455,2012,2,1,0,0.1416015625,0
"20","Calama",44470,60685,10964,7827,28838,5586,0.176006296379582,0.475208041525913,0.509485589201021,116119,42251,0.36385948897252,2012,3,0,0,0.0944203790938606,0
"21","Calbuco",9043,14882,5212,2115,8074,2121,0.233882561096981,0.542534605563768,0.406945510360706,29137,12310,0.422486872361602,2012,2,1,0,0.178879088444246,1
"22","Caldera",4383,6757,1478,1506,4080,997,0.343600273785079,0.603818262542548,0.674560216508796,12618,6583,0.521715010302742,2012,3,0,0,0.117134252654937,0
"23","Calera",14118,21363,6739,3022,11428,3962,0.214052982008783,0.534943594064504,0.587921056536578,42220,18412,0.436096636665088,2012,2,1,0,0.159616295594505,0
"24","Calera De Tango",6973,9686,2047,2643,6427,1371,0.379033414599168,0.663534998967582,0.669760625305325,18706,10441,0.558163156206565,2012,3,0,0,0.109430129370256,0
"25","Calle Larga",3303,5212,1542,514,1929,532,0.155616106569785,0.370107444359171,0.345006485084306,10057,2975,0.295813860992344,2012,3,0,0,0.15332604156309,0
"26","Camarones",1688,2611,539,862,1471,317,0.510663507109005,0.563385675986212,0.588126159554731,4838,2650,0.547747002893758,2012,3,0,0,0.111409673418768,0
"27","Camiña",961,1648,354,468,967,243,0.486992715920916,0.586771844660194,0.686440677966102,2963,1678,0.566317921025987,2012,3,0,0,0.119473506581168,0
"28","Canela",2289,4344,1846,1024,3056,1240,0.447356924421145,0.703499079189687,0.671722643553629,8479,5320,0.627432480245312,2012,3,0,0,0.217714353107678,1
"29","Cañete",9726,13446,3951,2961,8550,2399,0.304441702652684,0.635876840696118,0.607188053657302,27123,13910,0.51284887364967,2012,1,1,0,0.145669726800133,0
"30","Carahue",7298,11918,4458,3363,7654,2387,0.460811181145519,0.642221849303574,0.535441902198295,23674,13404,0.56619075779336,2012,1,1,0,0.188307848272366,1
"31","Cartagena",4800,8130,3401,1840,5254,2180,0.383333333333333,0.646248462484625,0.640987944722141,16331,9274,0.567877043659298,2012,3,0,0,0.20825424040169,1
"32","Casablanca",6662,9958,3135,2412,6989,1931,0.362053437406184,0.701847760594497,0.615948963317384,19755,11332,0.573626929891167,2012,3,0,0,0.158694001518603,0
"33","Castro",12475,17674,5652,2786,9552,2408,0.223326653306613,0.54045490551092,0.426043878273178,35801,14746,0.411887936091171,2012,3,0,0,0.157872685120527,0
"34","Catemu",3714,5710,1873,1206,4059,1242,0.324717285945073,0.710858143607706,0.663107314468767,11297,6507,0.575993626626538,2012,3,0,0,0.165796229087368,0
"35","Cauquenes",11362,17867,7108,4502,12544,4512,0.396233057560289,0.702076453797504,0.634777715250422,36337,21558,0.593279577290365,2012,3,0,0,0.195613286732532,1
"36","Cerrillos",23858,32685,9466,3973,15143,5491,0.166526951127504,0.463301208505431,0.580076061694486,66009,24607,0.372782499356148,2012,3,0,0,0.143404687239619,0
"37","Cerro Navia",39293,60136,16172,7039,30855,9456,0.179141322881938,0.513087002793668,0.584714321048726,115601,47350,0.409598532884664,2012,2,1,0,0.139894983607408,0
"38","Chaiten",1696,3054,738,496,1410,306,0.292452830188679,0.461689587426326,0.414634146341463,5488,2212,0.403061224489796,2012,3,0,0,0.134475218658892,0
"39","Chañaral",4015,5956,1740,579,1489,478,0.144209215442092,0.25,0.274712643678161,11711,2546,0.217402442148407,2012,3,0,0,0.148578259755785,0
"40","Chanco",2874,4625,1619,1635,3707,1181,0.568893528183716,0.801513513513514,0.72946263125386,9118,6523,0.715398113621408,2012,3,0,0,0.177560868611538,1
"41","Chepica",4311,6672,2060,1894,4899,1324,0.43934122013454,0.734262589928058,0.642718446601942,13043,8117,0.622326151958905,2012,3,0,0,0.157939124434563,0
"42","Chiguayante",22833,29036,7296,6568,16736,4428,0.287653834362545,0.576387932222069,0.606907894736842,59165,27732,0.468723062621482,2012,1,1,0,0.123316149750697,0
"43","Chile Chico",1457,3518,1083,584,1581,419,0.400823610157859,0.449403069926094,0.386888273314866,6058,2584,0.426543413667877,2012,4,0,0,0.178771871904919,1
"44","Chillan",49797,68781,20683,12393,38831,11320,0.248870413880354,0.564559980227098,0.547309384518687,139261,62544,0.449113535016982,2012,2,1,0,0.148519686057116,0
"45","Chillan Viejo",6086,9417,2476,2519,6858,1802,0.413900755833059,0.728257406817458,0.727786752827141,17979,11179,0.621780966683353,2012,2,1,0,0.13771622448412,0
"46","Chimbarongo",8921,14501,4031,2489,9031,2210,0.279004595897321,0.622784635542376,0.548251054328951,27453,13730,0.500127490620333,2012,3,0,0,0.146832768732015,0
"47","Cholchol",2673,4720,1821,1457,3467,1172,0.545080433969323,0.734533898305085,0.643602416254805,9214,6096,0.661601910136748,2012,2,1,0,0.197634035163881,1
"48","Chonchi",3546,5888,2229,1669,4166,1031,0.470671178793006,0.707540760869565,0.462539255271422,11663,6866,0.588699305496013,2012,1,1,0,0.191117208265455,1
"49","Cisnes",1358,2288,395,597,1422,271,0.439617083946981,0.621503496503496,0.686075949367089,4041,2290,0.56669141301658,2012,4,0,0,0.0977480821578817,0
"50","Cobquecura",1466,2760,1105,910,2083,715,0.620736698499318,0.754710144927536,0.647058823529412,5331,3708,0.695554305008441,2012,3,0,0,0.20727818420559,1
"51","Cochamo",1096,2402,901,411,1418,430,0.375,0.590341382181515,0.477247502774695,4399,2259,0.513525801318481,2012,3,0,0,0.204819277108434,1
"52","Cochrane",982,1674,390,423,925,217,0.430753564154786,0.552568697729988,0.556410256410256,3046,1565,0.513788575180565,2012,4,0,0,0.128036769533815,0
"53","Codegua",3487,5318,1331,1452,4050,871,0.416403785488959,0.761564497931553,0.654395191585274,10136,6373,0.628749013417522,2012,3,0,0,0.131314127861089,0
"54","Coelemu",4591,7613,2405,2252,5640,1664,0.490524940100196,0.740838040194404,0.691891891891892,14609,9556,0.654117324936683,2012,3,0,0,0.164624546512424,0
"55","Coihueco",6534,10352,2995,2613,7450,1850,0.399908172635445,0.719667697063369,0.617696160267112,19881,11913,0.599215331220764,2012,1,1,0,0.150646345757256,0
"56","Coinco",2130,3286,1041,1001,2476,737,0.469953051643193,0.753499695678637,0.707973102785783,6457,4214,0.652625058076506,2012,3,0,0,0.16122038098188,0
"57","Colbun",5178,8476,2375,2386,6037,1666,0.460795674005407,0.712246342614441,0.701473684210526,16029,10089,0.629421673217294,2012,3,0,0,0.148168943789382,0
